s,f,all,label
0.39352757,0.61660206,1.01012970,1.00000000
0.16684368,0.78660816,0.95345190,1.00000000
0.75655980,1.48841520,2.24497500,1.00000000
0.28766080,0.43537965,0.72304046,1.00000000
0.26473415,0.73073220,0.99546635,1.00000000
0.67847580,1.44342050,2.12189630,1.00000000
0.84721094,1.47213840,2.31934930,1.00000000
0.10231238,0.43128642,0.53359880,1.00000000
0.24383743,1.01817170,1.26200910,1.00000000
1.10133270,1.39370480,2.49503760,1.00000000
0.26105633,0.61267626,0.87373257,1.00000000
0.75050200,1.37931730,2.12981940,1.00000000
0.54417900,1.56015720,2.10433630,1.00000000
0.23225590,0.35963768,0.59189355,1.00000000
0.35475330,0.13519272,0.48994600,1.00000000
0.34466472,0.78313005,1.12779470,1.00000000
0.76715994,1.30830940,2.07546950,1.00000000
0.43421888,0.73252950,1.16674840,1.00000000
0.86701965,1.22549860,2.09251830,1.00000000
0.14555176,0.90310430,1.04865610,1.00000000
0.42230675,1.14391400,1.56622080,1.00000000
0.21720177,0.82037884,1.03758060,1.00000000
0.49381140,1.45401950,1.94783090,1.00000000
0.89381750,1.36412290,2.25794030,1.00000000
0.34214896,0.89844800,1.24059700,1.00000000
0.11564393,1.03443370,1.15007770,1.00000000
0.81897660,1.45016970,2.26914620,1.00000000
0.76759510,1.46234350,2.22993850,1.00000000
0.83508350,1.34297110,2.17805460,1.00000000
0.53146300,1.38558160,1.91704460,1.00000000
0.15001564,0.41262358,0.56263924,1.00000000
0.34401855,1.05157140,1.39559000,1.00000000
0.16119519,0.54162630,0.70282150,1.00000000
0.39538210,0.80075530,1.19613740,1.00000000
0.73994815,1.33961700,2.07956500,1.00000000
0.87144720,1.43282760,2.30427480,1.00000000
0.61165300,0.89236325,1.50401620,1.00000000
0.87753620,1.51910260,2.39663890,1.00000000
0.21334700,1.04819300,1.26153990,1.00000000
0.38023490,0.97451925,1.35475420,1.00000000
0.24608813,0.86821490,1.11430300,1.00000000
0.64022350,1.31847070,1.95869420,1.00000000
1.01129060,1.33123140,2.34252200,1.00000000
0.85353386,1.42870100,2.28223500,1.00000000
0.36445037,1.02073910,1.38518940,1.00000000
0.86051047,1.40345810,2.26396850,1.00000000
0.29621010,0.98467356,1.28088370,1.00000000
0.19153814,1.12039230,1.31193040,1.00000000
0.14872035,0.41038758,0.55910790,1.00000000
0.70441240,1.38500070,2.08941320,1.00000000
0.44479418,0.77172180,1.21651600,1.00000000
0.44410005,1.33056500,1.77466500,1.00000000
0.74233680,1.38581820,2.12815500,1.00000000
0.28086215,0.86419560,1.14505770,1.00000000
0.86898680,1.26113630,2.13012310,1.00000000
0.30762285,0.76912420,1.07674710,1.00000000
0.55474990,1.50841160,2.06316160,1.00000000
0.28156233,0.79978160,1.08134390,1.00000000
0.60800046,1.37908710,1.98708750,1.00000000
0.33388618,0.78676975,1.12065590,1.00000000
0.14974084,0.91794740,1.06768820,1.00000000
0.74397330,1.46162490,2.20559800,1.00000000
0.85482320,1.43533350,2.29015660,1.00000000
0.21158050,0.95376533,1.16534580,1.00000000
0.38041592,0.65689516,1.03731110,1.00000000
0.50754040,1.15499170,1.66253210,1.00000000
0.46250740,0.98167706,1.44418440,1.00000000
0.50217754,1.41166760,1.91384510,1.00000000
0.24725343,0.95641863,1.20367200,1.00000000
0.18495540,0.97055050,1.15550590,1.00000000
0.18275910,1.08770560,1.27046470,1.00000000
0.27785373,0.96024984,1.23810360,1.00000000
0.30844697,0.42366300,0.73210996,1.00000000
0.13583747,0.67112666,0.80696416,1.00000000
0.66548560,1.31852980,1.98401550,1.00000000
0.82456285,1.38833750,2.21290040,1.00000000
0.15764926,0.89477825,1.05242750,1.00000000
0.15873052,0.78515875,0.94388926,1.00000000
0.15738398,0.65824306,0.81562704,1.00000000
0.12804738,0.65024890,0.77829623,1.00000000
0.82872760,1.37803290,2.20676040,1.00000000
0.75998150,1.17023230,1.93021380,1.00000000
1.01584850,1.50644720,2.52229570,1.00000000
1.15838130,1.43642440,2.59480570,1.00000000
0.21967690,0.64761830,0.86729520,1.00000000
0.08158691,0.46540383,0.54699075,1.00000000
0.23094921,0.67185790,0.90280710,1.00000000
0.50789297,1.60356000,2.11145300,1.00000000
0.61472710,1.38109450,1.99582150,1.00000000
0.20745234,1.14386510,1.35131740,1.00000000
0.42781606,1.06410310,1.49191920,1.00000000
0.17081290,0.94655850,1.11737130,1.00000000
0.40137148,0.53769130,0.93906280,1.00000000
0.30745524,1.06361650,1.37107180,1.00000000
0.15718894,0.55161180,0.70880073,1.00000000
0.80883473,1.37877670,2.18761130,1.00000000
0.86213744,1.47469780,2.33683540,1.00000000
0.07657295,0.49287352,0.56944644,1.00000000
0.41403684,1.28244470,1.69648160,1.00000000
0.17483047,1.13120540,1.30603590,1.00000000
0.25295540,0.84060484,1.09356020,1.00000000
0.25464174,1.21157800,1.46621980,1.00000000
0.87005174,1.38261180,2.25266360,1.00000000
0.21037911,0.60498760,0.81536674,1.00000000
0.42983052,1.37985600,1.80968650,1.00000000
0.33773634,0.53050405,0.86824036,1.00000000
1.09313570,1.33603620,2.42917200,1.00000000
1.02254430,1.48713290,2.50967720,1.00000000
0.56492800,1.43157980,1.99650790,1.00000000
1.07601020,1.49136710,2.56737730,1.00000000
0.24753869,0.89625880,1.14379740,1.00000000
0.44874123,0.85392140,1.30266260,1.00000000
0.69593720,1.43648120,2.13241840,1.00000000
0.29703200,0.67880830,0.97584030,1.00000000
0.28623793,0.68739340,0.97363140,1.00000000
0.50130224,1.48796550,1.98926770,1.00000000
0.14557430,0.20438138,0.34995568,1.00000000
0.25343344,0.85662610,1.11005950,1.00000000
0.95736940,1.35028300,2.30765250,1.00000000
0.28584597,0.85016495,1.13601090,1.00000000
0.64908970,1.08512690,1.73421660,1.00000000
0.59947510,1.46019940,2.05967450,1.00000000
0.68735325,1.44638470,2.13373800,1.00000000
0.42869812,1.30426410,1.73296210,1.00000000
0.31765974,0.28268564,0.60034540,1.00000000
0.32460645,1.13799990,1.46260630,1.00000000
0.23688641,1.23527470,1.47216100,1.00000000
0.34381354,0.86219704,1.20601060,1.00000000
0.47197613,1.43289730,1.90487350,1.00000000
1.06491980,1.33658840,2.40150830,1.00000000
0.26658250,0.70611460,0.97269710,1.00000000
1.05507530,1.19395180,2.24902730,1.00000000
0.10307929,0.82883500,0.93191430,1.00000000
0.70913595,1.46461320,2.17374920,1.00000000
0.27576020,0.95474230,1.23050250,1.00000000
0.96103600,1.45599030,2.41702630,1.00000000
0.41162091,0.97913170,1.39075260,1.00000000
0.18081784,0.54914194,0.72995980,1.00000000
1.03848990,1.45213820,2.49062820,1.00000000
0.23530371,0.72582793,0.96113163,1.00000000
0.54941820,1.34383580,1.89325400,1.00000000
0.17334838,0.78775334,0.96110170,1.00000000
0.91634136,1.29552400,2.21186540,1.00000000
0.82612450,1.41909270,2.24521700,1.00000000
0.19031693,1.13892050,1.32923750,1.00000000
0.14543834,0.42605660,0.57149494,1.00000000
0.07131001,0.31907120,0.39038122,1.00000000
0.06552216,0.42720526,0.49272743,1.00000000
0.48305017,0.98736130,1.47041150,1.00000000
0.07870084,0.91737630,0.99607710,1.00000000
0.53103590,1.33619570,1.86723160,1.00000000
0.13918097,1.00168930,1.14087030,1.00000000
0.71106464,1.46555970,2.17662430,1.00000000
0.89226970,1.42603270,2.31830240,1.00000000
0.20748946,0.80322430,1.01071380,1.00000000
0.34869736,0.81331515,1.16201260,1.00000000
0.19281438,0.97387880,1.16669320,1.00000000
0.41957070,0.83884430,1.25841500,1.00000000
0.79436370,1.48166450,2.27602820,1.00000000
0.38231410,0.67347450,1.05578850,1.00000000
1.02597150,1.45926640,2.48523800,1.00000000
0.33028680,0.86640316,1.19669000,1.00000000
0.37588114,1.00383630,1.37971740,1.00000000
0.42153147,1.21485420,1.63638570,1.00000000
0.29861394,0.68419730,0.98281120,1.00000000
0.22978516,1.12045870,1.35024390,1.00000000
0.89507320,1.43877270,2.33384590,1.00000000
0.46271315,0.88235104,1.34506420,1.00000000
0.08385275,0.94651914,1.03037190,1.00000000
0.39288712,1.27442880,1.66731600,1.00000000
1.19765300,1.39351520,2.59116840,1.00000000
0.21286178,1.29158310,1.50444480,1.00000000
0.25983742,1.29788710,1.55772450,1.00000000
0.10626835,0.33295006,0.43921840,1.00000000
0.78871490,1.35309670,2.14181160,1.00000000
1.26856760,1.38925720,2.65782480,1.00000000
0.92534320,1.39164140,2.31698470,1.00000000
0.28344014,1.11377530,1.39721540,1.00000000
1.19189080,1.27597620,2.46786700,1.00000000
0.61227420,1.46107820,2.07335230,1.00000000
1.37585140,1.39266740,2.76851900,1.00000000
0.37825394,0.65331270,1.03156660,1.00000000
0.78268150,1.54719460,2.32987620,1.00000000
0.70054436,1.45690770,2.15745200,1.00000000
0.12462192,0.85374710,0.97836906,1.00000000
0.24377225,0.88746256,1.13123480,1.00000000
0.59272510,1.42994730,2.02267240,1.00000000
0.27132165,0.50731546,0.77863710,1.00000000
0.10092454,0.59222320,0.69314780,1.00000000
0.95848610,1.48140120,2.43988730,1.00000000
0.87894300,1.50047550,2.37941860,1.00000000
0.67094540,1.42710110,2.09804650,1.00000000
0.42788953,1.07353160,1.50142120,1.00000000
0.68794423,1.45375200,2.14169620,1.00000000
0.62881330,1.06286230,1.69167570,1.00000000
0.37209705,0.57976660,0.95186365,1.00000000
0.25362137,0.80120456,1.05482590,1.00000000
0.35775068,0.60502170,0.96277237,1.00000000
0.23962836,0.51469880,0.75432720,1.00000000
0.23125854,0.60106800,0.83232653,1.00000000
0.18146472,0.97652700,1.15799160,1.00000000
0.16697633,0.80480290,0.97177920,1.00000000
0.22847418,0.34835997,0.57683414,1.00000000
0.16049990,0.94388200,1.10438190,1.00000000
0.40164050,0.60625625,1.00789680,1.00000000
0.18171099,0.70854130,0.89025223,1.00000000
0.55788160,0.90636724,1.46424890,1.00000000
1.19836350,1.42282130,2.62118480,1.00000000
0.24974108,0.80046856,1.05020960,1.00000000
0.65125024,1.42349610,2.07474640,1.00000000
0.34737240,0.82838630,1.17575870,1.00000000
1.02484480,1.44473700,2.46958160,1.00000000
0.59076940,1.38906250,1.97983190,1.00000000
0.49699500,0.90744270,1.40443770,1.00000000
0.09147755,0.19547018,0.28694773,1.00000000
0.77806600,1.52619490,2.30426100,1.00000000
0.26192400,1.04030700,1.30223110,1.00000000
0.23741372,0.70227474,0.93968844,1.00000000
0.64304990,1.44431880,2.08736870,1.00000000
0.66840655,1.53899340,2.20739980,1.00000000
0.22058186,0.88846490,1.10904680,1.00000000
0.67463670,1.34346320,2.01809980,1.00000000
0.32021564,0.57076770,0.89098334,1.00000000
0.28288746,0.97022974,1.25311720,1.00000000
0.20982258,0.76528060,0.97510320,1.00000000
0.18494564,0.83289120,1.01783680,1.00000000
0.07739024,0.89312660,0.97051686,1.00000000
0.23117656,0.55797800,0.78915450,1.00000000
0.15850958,0.59313655,0.75164616,1.00000000
0.41719670,0.50845880,0.92565550,1.00000000
0.82244617,1.21793200,2.04037800,1.00000000
0.38359370,0.84788895,1.23148260,1.00000000
0.35528195,0.81033920,1.16562120,1.00000000
0.58367880,1.38262980,1.96630860,1.00000000
0.14232740,0.35859060,0.50091803,1.00000000
0.81410790,0.77839833,1.59250620,1.00000000
0.33263347,1.16213540,1.49476890,1.00000000
0.67601305,1.45869400,2.13470700,1.00000000
0.87621176,1.36661910,2.24283080,1.00000000
0.17786649,0.53896060,0.71682703,1.00000000
0.39885867,1.25137410,1.65023280,1.00000000
0.12611029,0.92716820,1.05327840,1.00000000
0.21226062,1.00291030,1.21517090,1.00000000
1.27166240,1.37423180,2.64589400,1.00000000
0.23858343,0.80769860,1.04628200,1.00000000
0.09956166,0.65966650,0.75922810,1.00000000
0.07137670,0.55488250,0.62625920,1.00000000
0.09535745,0.65710527,0.75246274,1.00000000
0.24974912,0.84521616,1.09496520,1.00000000
0.78826220,0.96318746,1.75144960,1.00000000
0.31057596,0.78341010,1.09398600,1.00000000
0.57631540,1.23250440,1.80881980,1.00000000
0.31956944,1.20490880,1.52447830,1.00000000
0.79891986,1.41290990,2.21182970,1.00000000
0.44111120,0.92085016,1.36196140,1.00000000
0.54837340,1.08707120,1.63544460,1.00000000
0.36591630,0.72792510,1.09384140,1.00000000
0.29681867,0.82980300,1.12662170,1.00000000
0.65871420,1.30184440,1.96055850,1.00000000
0.52939080,1.46448800,1.99387880,1.00000000
0.13256708,0.72806257,0.86062970,1.00000000
0.41327092,0.69848406,1.11175500,1.00000000
0.81836880,1.18819700,2.00656580,1.00000000
0.82835340,1.40670250,2.23505600,1.00000000
0.98169136,1.32032860,2.30202000,1.00000000
0.22016913,0.94267124,1.16284040,1.00000000
0.49985640,1.42408840,1.92394470,1.00000000
0.36749595,0.90296674,1.27046280,1.00000000
0.36804944,0.88996214,1.25801160,1.00000000
0.69271480,1.08079810,1.77351300,1.00000000
0.14005930,0.22976243,0.36982173,1.00000000
0.43445227,0.45487120,0.88932350,1.00000000
0.06362848,0.72146510,0.78509360,1.00000000
0.37752277,1.09700880,1.47453170,1.00000000
0.14350875,0.67246836,0.81597710,1.00000000
0.09379987,0.96091163,1.05471150,1.00000000
0.22920576,0.79651004,1.02571580,1.00000000
0.50580170,1.18609860,1.69190030,1.00000000
0.65603920,0.38546910,1.04150830,1.00000000
0.14616309,0.44470180,0.59086490,1.00000000
0.72401340,1.32930410,2.05331750,1.00000000
0.22636959,0.41646832,0.64283790,1.00000000
1.14576050,1.35313030,2.49889090,1.00000000
0.66733220,1.32609530,1.99342750,1.00000000
1.00353980,1.35224320,2.35578300,1.00000000
0.10773015,0.57297900,0.68070910,1.00000000
0.78575660,1.48022810,2.26598450,1.00000000
0.14555573,0.80088687,0.94644260,1.00000000
0.14204545,0.27067090,0.41271633,1.00000000
0.54014740,1.21516190,1.75530930,1.00000000
0.24627866,1.19191700,1.43819560,1.00000000
0.53697010,1.36905740,1.90602760,1.00000000
0.12796448,0.48444602,0.61241050,1.00000000
0.43497536,0.95221840,1.38719380,1.00000000
0.85158050,1.43193790,2.28351830,1.00000000
0.29914720,0.86531717,1.16446440,1.00000000
0.28576040,0.99878880,1.28454920,1.00000000
0.67122245,1.43699480,2.10821720,1.00000000
0.70967960,1.10653780,1.81621740,1.00000000
0.27383160,0.65301913,0.92685074,1.00000000
0.19011490,1.38569600,1.57581090,1.00000000
0.22788158,0.95269644,1.18057800,1.00000000
0.26239833,0.95096970,1.21336800,1.00000000
0.65131956,1.44881890,2.10013840,1.00000000
0.18993293,0.44703436,0.63696730,1.00000000
0.41457608,1.14254880,1.55712490,1.00000000
0.16389118,0.79871030,0.96260150,1.00000000
0.20334509,0.15524128,0.35858637,1.00000000
0.24992153,0.37003470,0.61995625,1.00000000
0.13191073,0.24412696,0.37603770,1.00000000
0.34884465,0.97742647,1.32627100,1.00000000
0.87158350,1.46325400,2.33483740,1.00000000
0.65295110,1.42714050,2.08009150,1.00000000
0.12698461,0.88082080,1.00780550,1.00000000
0.45257327,1.10368740,1.55626070,1.00000000
0.20302886,0.30192240,0.50495124,1.00000000
0.79954207,1.45402840,2.25357060,1.00000000
0.25994483,0.88704590,1.14699080,1.00000000
0.06833769,1.01989350,1.08823120,1.00000000
0.35997927,0.64030660,1.00028590,1.00000000
0.25530028,0.59896964,0.85426990,1.00000000
0.22295828,0.79704160,1.01999990,1.00000000
0.22225252,0.78112500,1.00337760,1.00000000
0.83523840,1.46162220,2.29686070,1.00000000
0.15882990,0.56687270,0.72570264,1.00000000
0.32251987,0.93528247,1.25780240,1.00000000
0.68829580,1.33490110,2.02319700,1.00000000
0.38763470,0.78697145,1.17460610,1.00000000
0.32463476,0.69675744,1.02139220,1.00000000
0.14071593,0.33079803,0.47151396,1.00000000
0.25495708,0.65356740,0.90852445,1.00000000
0.71835417,1.29506470,2.01341900,1.00000000
0.71345500,0.99610853,1.70956350,1.00000000
0.13406690,1.09441350,1.22848050,1.00000000
0.43252128,1.39568590,1.82820730,1.00000000
0.24742630,0.99760320,1.24502940,1.00000000
0.96276546,1.56281610,2.52558160,1.00000000
0.20895603,1.06900980,1.27796580,1.00000000
0.52417105,0.53711560,1.06128670,1.00000000
0.38239536,0.65511245,1.03750780,1.00000000
1.04086860,1.36117120,2.40204000,1.00000000
0.50377940,0.90469253,1.40847200,1.00000000
0.38983923,0.74321145,1.13305070,1.00000000
0.23140588,1.21346880,1.44487460,1.00000000
0.13676344,0.62626064,0.76302410,1.00000000
0.19045304,0.42955860,0.62001160,1.00000000
0.16962095,0.85035044,1.01997140,1.00000000
0.10348463,0.47135377,0.57483840,1.00000000
0.34106606,0.68401300,1.02507900,1.00000000
0.88732010,1.44949850,2.33681870,1.00000000
0.11829850,0.47111900,0.58941746,1.00000000
0.26567447,0.58533126,0.85100573,1.00000000
1.16588000,1.34994440,2.51582430,1.00000000
0.28349432,0.59241820,0.87591255,1.00000000
0.63200920,1.47043660,2.10244580,1.00000000
0.66213244,1.38341330,2.04554580,1.00000000
0.17496382,1.02517250,1.20013630,1.00000000
0.34673855,1.08591570,1.43265430,1.00000000
0.56371410,0.79673850,1.36045270,1.00000000
0.37204587,0.92407610,1.29612200,1.00000000
0.67096794,1.25247000,1.92343800,1.00000000
0.29665460,0.95446634,1.25112090,1.00000000
0.16799021,0.75262830,0.92061853,1.00000000
0.22138198,0.54283637,0.76421833,1.00000000
0.63209950,1.29323840,1.92533790,1.00000000
0.59478250,1.42419670,2.01897900,1.00000000
0.88515430,1.45200000,2.33715440,1.00000000
1.11890850,1.56263840,2.68154700,1.00000000
0.27273210,0.86790437,1.14063640,1.00000000
0.24107432,1.01156750,1.25264180,1.00000000
0.55155800,1.18070570,1.73226370,1.00000000
0.24999191,0.70887680,0.95886870,1.00000000
0.26778020,0.69928515,0.96706533,1.00000000
0.20596927,1.17293020,1.37889960,1.00000000
0.76293230,1.53201570,2.29494800,1.00000000
0.24200365,0.42086172,0.66286540,1.00000000
0.95344350,1.38271160,2.33615520,1.00000000
0.15167697,0.71676950,0.86844647,1.00000000
0.13729061,0.34804654,0.48533714,1.00000000
0.49043864,0.88109130,1.37152990,1.00000000
0.24257345,1.01546620,1.25803970,1.00000000
0.85244330,1.39273050,2.24517370,1.00000000
1.39145450,1.36063470,2.75208900,1.00000000
0.72359470,1.50039090,2.22398570,1.00000000
0.52380740,1.32574520,1.84955260,1.00000000
0.18553041,0.34730905,0.53283950,1.00000000
0.45339444,1.22605400,1.67944840,1.00000000
0.42771090,0.82396960,1.25168050,1.00000000
0.20517492,0.57301354,0.77818847,1.00000000
0.16716407,0.33336696,0.50053100,1.00000000
0.18065482,0.75941110,0.94006590,1.00000000
0.06892888,0.16879849,0.23772737,1.00000000
0.38279375,1.03441910,1.41721280,1.00000000
0.90180415,1.47092720,2.37273140,1.00000000
0.26153330,0.63862970,0.90016294,1.00000000
0.18989132,1.25544080,1.44533220,1.00000000
0.34378760,1.21671500,1.56050250,1.00000000
0.41308996,0.78615755,1.19924750,1.00000000
0.11522848,0.71344230,0.82867080,1.00000000
0.29900524,0.76995355,1.06895880,1.00000000
0.41250828,1.05686350,1.46937180,1.00000000
0.99523723,1.48005550,2.47529270,1.00000000
0.92701080,1.42990460,2.35691550,1.00000000
0.08643917,0.87604266,0.96248186,1.00000000
0.92496590,1.41997770,2.34494350,1.00000000
0.67422664,1.55244980,2.22667650,1.00000000
0.95741150,1.38414910,2.34156060,1.00000000
1.20511700,1.35510640,2.56022330,1.00000000
1.11265150,1.43644070,2.54909230,1.00000000
0.38560670,1.12609060,1.51169730,1.00000000
0.36597690,1.15839150,1.52436840,1.00000000
1.19583630,1.43908860,2.63492500,1.00000000
0.58588660,1.38142320,1.96730980,1.00000000
0.30466598,0.97229004,1.27695610,1.00000000
0.09033286,1.07640590,1.16673870,1.00000000
0.29452348,0.82070100,1.11522450,1.00000000
0.20505598,0.59688747,0.80194340,1.00000000
0.43670988,0.82215446,1.25886440,1.00000000
0.49743630,1.39131810,1.88875440,1.00000000
0.09572288,0.80527234,0.90099520,1.00000000
0.34175680,0.90792510,1.24968200,1.00000000
0.44303740,0.36224914,0.80528650,1.00000000
1.11794520,1.45782710,2.57577230,1.00000000
0.12381724,0.52956780,0.65338504,1.00000000
0.12557276,1.00141730,1.12699010,1.00000000
0.64396703,1.37094840,2.01491550,1.00000000
0.52551060,1.41308720,1.93859790,1.00000000
0.86418560,1.40347950,2.26766500,1.00000000
0.17475703,0.41807790,0.59283495,1.00000000
1.10365550,1.44304940,2.54670480,1.00000000
0.08457841,1.16202660,1.24660500,1.00000000
0.38032310,0.79114753,1.17147060,1.00000000
0.69326764,1.42117480,2.11444230,1.00000000
0.26865706,0.96445300,1.23311010,1.00000000
0.68950080,1.46646270,2.15596340,1.00000000
0.53861150,1.50964250,2.04825400,1.00000000
0.43685293,1.16189720,1.59875010,1.00000000
0.64721100,1.54390930,2.19112040,1.00000000
1.07626860,1.52915190,2.60542060,1.00000000
0.18968132,1.01409140,1.20377270,1.00000000
0.09158126,0.71813540,0.80971670,1.00000000
0.70217890,1.50976930,2.21194820,1.00000000
0.14359313,0.42614794,0.56974110,1.00000000
0.15539819,0.50751230,0.66291046,1.00000000
0.37165058,0.98052250,1.35217310,1.00000000
0.51226896,0.91594280,1.42821170,1.00000000
0.51211750,1.33199390,1.84411140,1.00000000
0.63084036,1.43491670,2.06575700,1.00000000
1.66107810,1.44616810,3.10724620,1.00000000
